,stats,lats,lons
0,KABR,45.45583333333334,-98.41305555555556
1,KABX,35.14972222222222,-106.82388888888889
2,KAKQ,36.98388888888889,-77.00722222222223
3,KAMA,35.233333333333334,-101.70916666666668
4,KAMX,25.611111111111114,-80.41277777777778
5,KAPX,44.907222222222224,-84.71972222222223
6,KARX,43.82277777777778,-91.19111111111111
7,KATX,48.19444444444444,-122.49583333333334
8,KBBX,39.49611111111111,-121.63166666666666
9,KBGM,42.19972222222222,-75.98472222222222
10,KBHX,40.498333333333335,-124.29194444444444
11,KBIS,46.770833333333336,-100.76055555555556
12,KBLX,45.85388888888889,-108.60666666666665
13,KBMX,33.17222222222222,-86.76972222222223
14,KBOX,41.95583333333334,-71.13694444444445
15,KBRO,25.91611111111111,-97.41888888888889
16,KBUF,42.94888888888889,-78.73666666666666
17,KBYX,24.5975,-81.70305555555557
18,KCAE,33.948611111111106,-81.11833333333333
19,KCBW,46.03916666666667,-67.80638888888889
20,KCBX,43.49055555555556,-116.23555555555555
21,KCCX,40.92305555555555,-78.00361111111111
22,KCLE,41.41305555555555,-81.85972222222222
23,KCLX,32.65555555555555,-81.04222222222222
24,KCRP,27.784166666666668,-97.5111111111111
25,KCXX,44.51111111111111,-73.16694444444445
26,KCYS,41.151944444444446,-104.80611111111111
27,KDAX,38.50111111111111,-121.67777777777778
28,KDDC,37.76083333333333,-99.96888888888888
29,KDFX,29.272777777777776,-100.28055555555555
30,KDGX,32.27972222222222,-89.98416666666667
31,KDIX,39.94694444444444,-74.41083333333334
32,KDLH,46.83694444444445,-92.20972222222223
33,KDMX,41.73111111111111,-93.72277777777778
34,KDOX,38.82555555555556,-75.43972222222223
35,KDTX,42.69972222222222,-83.47166666666666
36,KDVN,41.611666666666665,-90.58083333333333
37,KDYX,32.538333333333334,-99.25444444444445
38,KEAX,38.81027777777778,-94.26444444444445
39,KEMX,31.89361111111111,-110.63027777777778
40,KENX,42.58638888888889,-74.06388888888888
41,KEOX,31.460555555555555,-85.45944444444444
42,KEPZ,31.873055555555556,-106.69805555555556
43,KESX,35.70111111111111,-114.8913888888889
44,KEVX,30.564444444444444,-85.9213888888889
45,KEWX,29.703888888888887,-98.02833333333334
46,KEYX,35.09777777777778,-117.56083333333333
47,KFCX,37.02444444444444,-80.27388888888889
48,KFDR,34.36222222222222,-98.97638888888889
49,KFDX,34.63527777777778,-103.63
50,KFFC,33.36361111111111,-84.56583333333333
51,KFSD,43.58777777777778,-96.72944444444444
52,KFSX,34.574444444444445,-111.19777777777779
53,KFTG,39.78666666666666,-104.54583333333333
54,KFWS,32.573055555555555,-97.30305555555556
55,KGGW,48.20638888888889,-106.625
56,KGJX,39.06222222222222,-108.21388888888889
57,KGLD,39.36694444444444,-101.70027777777779
58,KGRB,44.498333333333335,-88.11138888888888
59,KGRK,30.721944444444443,-97.38305555555554
60,KGRR,42.89388888888889,-85.54472222222222
61,KGSP,34.88333333333333,-82.22
62,KGWX,33.89666666666667,-88.32888888888888
63,KGYX,43.89138888888889,-70.25638888888889
64,KHDX,33.07638888888889,-106.12277777777777
65,KHGX,29.471944444444443,-95.07916666666667
66,KHNX,36.314166666666665,-119.63222222222221
67,KHPX,36.736666666666665,-87.285
68,KHTX,34.93055555555555,-86.08333333333333
